,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xb6c0,0,0.064516129,0.0606060606,0.0689655172,0.0625,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xb780,0.0333333333,0.0625,0,0.064516129,0.064516129,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xbe80,0.0666666667,0,0.0666666667,0.0606060606,0.064516129,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc240,0.03125,0,0.03125,0.0294117647,0.0322580645,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc2c0,0.064516129,0,0.0625,0,0.064516129,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc2c0,0.064516129,0,0.0625,0,0.064516129,0,0,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc580,0,0.064516129,0.0666666667,0.0285714286,0.0666666667,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc580,0,0.064516129,0.0666666667,0.0285714286,0.0666666667,0,0.0285714286,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc600,0.0322580645,0.0303030303,0.0333333333,0,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc880,0,0.0625,0.0303030303,0.064516129,0.064516129,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc880,0,0.0625,0.0303030303,0.064516129,0.064516129,0,0.0303030303,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc8c0,0,0.03125,0.0303030303,0.064516129,0.0322580645,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc8c0,0,0.03125,0.0303030303,0.064516129,0.0322580645,0,0.064516129,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc940,0.0625,0,0.064516129,0.0606060606,0,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xc940,0.0625,0,0.064516129,0.0606060606,0,0,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xcb80,0.0333333333,0,0.064516129,0.03125,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so,  0xcb80,0.0333333333,0,0.064516129,0.03125,0.03125,0,0.064516129,,
